Withdrawal Application No,Loan/Grant No,Type,Country,Executing Agency,Project Name,Sector,Regional Department,Disbursement Amount (USD),Currency,Date Received,Date Processed,Processing Days,SLA Target (Days),SLA Met,Status,Processing Officer,Division,Fiscal Year,Quarter
WA-2025-100034,LN-4034-SF,Loan,Bhutan, National Water Utility  ,Public Financial Management Reform,ICT,SARD,219645.28,USD,17/01/2026,01-18-2026,1.0,7,yes,Processed,R. Dadufalza,CTLA-LGD,2026,Q1 2026
WA-2026-100453,LN-4453-REG,Loan,Bhutan,Ministry of Energy ,Health Sector Reform Project,Energy,SARD,"50,160.96",USD,19/10/2025,"Oct 23, 2025",4.0,7,1,Processed,B. Kasilag,CTLA-LGD,2025,Q4 2025
WA-2025-100412,TA-4412-SF,TA,Pakistan,National Housing Authority  ,Financial Inclusion Program,Health,CWRD,"$70,098.63",USD,"Apr 25, 2026",26-Apr-2026,1.0,7,Y,Processed,I. Mora,CTLA-TA,2026,Q2 2026
WA-2026-100451,LN-4451-SF,Loan,Papua New Guinea,Ministry of Energy  ,Solar Power Generation Project,Education,PARD,"124,529.59",USD,01-Dec-2025,,-,7,NA,On Hold,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2025-100370,TA-4370-SF,TA,Tajikistan,Municipal Development Fund,Climate Resilient Infrastructure,Multisector,CWRD,"USD 468,781.17",USD,09-30-2025,,-,7,,Pending,L. Belingon,CTLA-TA,2025,Q3 2025
WA-2025-100302,LN-4302-MFF,Loan,Lao PDR,Central Bank ,Basic Education Sector Program,Transport,SERD,"$51,640.63",USD,12/07/2025,,-,7,na,Under Review,O. Orcas,CTLA-LGD,2025,Q3 2025
WA-2026-100211,LN-4211-SF,Loan,NULL, Ministry of Energy  ,Coastal Protection Project,Education,SARD,"$128,321.52",USD,2025-10-01,,N/A,7,,On Hold,B. Kasilag,CTLA-LGD,2025,Q4 2025
WA-2026-100225,TA-4225-REG,TA,Viet nam,Central Bank  ,Climate Resilient Infrastructure,Transport,SERD,1257536.83,USD,"Feb 07, 2025",11-Feb-2025,4.0,7,1,Processed,S. Dhakal,CTLA-TA,2025,Q1 2025
WA-2025-100434,GR-4434-MFF,Grant,Fiji, Ministry of Environment  ,Small Business Support Facility,Water and Urban Development,PARD,52893.02,USD,2026-01-21,28-Jan-2026,7.0,7,Yes,Processed,L. Halliwell,CTLA-LGD,2026,Q1 2026
WA-2025-100200,LN-4200-MFF,Loan,Maldives, Ministry of Agriculture,Coastal Protection Project,Education,SARD,"$175,825.87",USD,2025-09-06,"Sep 11, 2025",5.0,7,TRUE,Processed,R. Perez,CTLA-LGD,2025,Q3 2025
WA-2025-100138,TA-4138-REG,TA,Maldives,  Ministry of Energy,Climate Resilient Infrastructure,Multisector,SARD,"$88,736.31",USD,2025-08-07,08-11-2025,4.0,7,Yes,Processed,R. Baluyot,CTLA-TA,2025,Q3 2025
WA-2026-100331,GR-4331-SF,Grant,Kyrgyz Republic,  Ministry of Environment,Digital Government Transformation,Finance,CWRD,"USD 509,687.56",USD,2025-10-29,07/11/2025,9.0,7,No,Processed,R. Baluyot,CTLA-LGD,2025,Q4 2025
WA-2026-100031,LN-4031-SF,Loan,Uzbekistan,Ministry of Energy,Smart City Development,Multisector,CWRD,"$35,546.65",USD,07-18-2025,,N/A,7,-,Under Review,I. Mora,CTLA-LGD,2025,Q3 2025
WA-2026-100271,LN-4271-SF,Loan,Lao PDR,  Provincial Government  ,Agriculture Value Chain Development,Transport,SERD,813124.36,USD,10-28-2025,10-29-2025,1.0,7,Y,Processed,A. Asuncion,CTLA-LGD,2025,Q4 2025
WA-2026-100427,TA-4427-SF,TA,INDONESIA,  Ministry of Environment ,Solar Power Generation Project,ICT,SERD,"252,594.02",USD,01-27-2026,30/01/2026,3.0,7,TRUE,Processed,D. Nishimoto,CTLA-TA,2026,Q1 2026
WA-2025-100216,GR-4216-REG,Grant,Kyrgyz Republic, Ministry of Environment  ,Solar Power Generation Project,Finance,CWRD,"52,790.44",USD,04-14-2025,2025-04-15,1.0,7,Yes,Processed,B. Choi,CTLA-LGD,2025,Q2 2025
WA-2026-100215,LN-4215-MFF,Loan,Indonesia,  Ministry of Planning ,Digital Government Transformation,Finance,SERD,"USD 235,266.82",USD,2025-06-28,01/07/2025,3.0,7,Y,Processed,R. Dadufalza,CTLA-PMR,2025,Q2 2025
WA-2025-100448,TA-4448-SF,TA,Bhutan,Ministry of Agriculture,Flood Risk Management Project,ICT,SARD,125478.51,USD,13-Mar-2026,15-Mar-2026,2.0,7,yes,Processed,M. Akram,CTLA-TA,2026,Q1 2026
WA-2026-100145,LN-4145-SF,Loan,Lao PDR,  Rural Electrification Agency,Renewable Energy Development,Education,SERD,63108.73,USD,01/01/2026,03-Jan-2026,N/A,7,1,Processed,H.C. Park,CTLA-LGD,2026,Q1 2026
WA-2025-100484,LN-4484-SF,Loan,Bhutan,Department of Health,Renewable Energy Development,Energy,SARD,"8,321,964.36",USD,01-Mar-2026,"Mar 18, 2026",17.0,7,FALSE,Processed,V. Sefesi,CTLA-LGD,2026,Q1 2026
WA-2025-100246,GR-4246-REG,Grant,Papua New Guinea,  Ministry of Planning  ,Public Financial Management Reform,ICT,PARD,97494.08,USD,2026-05-19,,N/A,7,,Pending,,CTLA-LGD,2026,Q2 2026
WA-2026-100105,TA-4105-REG,TA,Fiji,Department of Social Welfare  ,Urban Water Supply Program,Education,PARD,483770.81,USD,"Jan 13, 2025",2025-01-20,7.0,7,TRUE,Processed,S. Dhakal,CTLA-TA,2025,Q1 2025
WA-2025-100146,TA-4146-MFF,TA,Pakistan,Municipal Development Fund ,Sustainable Urban Transport,Finance,CWRD,250172.95,USD,"Mar 26, 2026",04-17-2026,22.0,7,FALSE,Processed,R. Gallor,CTLA-TA,2026,Q1 2026
WA-2026-100329,LN-4329-MFF,Loan,Pakistan,  National Water Utility ,Flood Risk Management Project,Health,CWRD,"$181,787.38",USD,05-May-2026,2026-05-06,1.0,7,1,Processed,O. Domagas,CTLA-LGD,2026,Q2 2026
WA-2026-100419,LN-4419-MFF,Loan,India,  Ministry of Energy,Girls Education Support Program,ICT,SARD,"603,294.46",USD,03-09-2026,03-11-2026,2.0,7,Yes,Processed,M. Rodriguez,CTLA-PMR,2026,Q1 2026
WA-2025-100192,LN-4192-REG,Loan,India,Ministry of Energy ,Girls Education Support Program,Education,SARD,"USD 304,684.54",USD,13-Apr-2026,04-16-2026,3.0,7,Yes,Processed,S. Dhakal,CTLA-LGD,2026,Q2 2026
WA-2025-100226,LN-4226-SF,Loan,Maldives,  National Water Utility ,Digital Government Transformation,Finance,SARD,1220160.08,USD,26-Nov-2025,,N/A,7,-,Under Review,L. Halliwell,CTLA-LGD,2025,Q4 2025
WA-2025-100258,LN-4258-REG,Loan,NULL,National Water Utility,Smart City Development,ICT,CWRD,"USD 50,415.63",USD,17-May-2025,18/05/2025,1.0,7,Y,Processed,V. Sefesi,CTLA-LGD,2025,Q2 2025
WA-2026-100051,TA-4051-REG,TA,Myanmar,Ministry of Education,Flood Risk Management Project,Multisector,SERD,417154.72,USD,27-Nov-2025,30-Nov-2025,3.0,7,Y,Processed,D. Nishimoto,CTLA-TA,2025,Q4 2025
WA-2026-100307,GR-4307-SF,Grant,Mongolia,Ministry of Planning  ,Climate Resilient Infrastructure,Multisector,EARD,"USD 3,755,310.46",USD,22-Jun-2025,07-16-2025,24.0,7,No,Processed,V. Sefesi,CTLA-LGD,2025,Q2 2025
WA-2026-100351,TA-4351-REG,TA,Lao PDR,  Ministry of Education  ,Small Business Support Facility,"Agriculture, Food, Nature and Rural Development",SERD,190838.73,USD,"Feb 27, 2025",03-21-2025,22.0,7,0,Processed,L. Belingon,CTLA-TA,2025,Q1 2025
WA-2025-100324,LN-4324-REG,Loan,Kyrgyz Republic,Ministry of Finance ,Sustainable Urban Transport,Energy,CWRD,90398.31,USD,01-06-2025,2025-01-13,7.0,7,1,Processed,M. Akram,CTLA-LGD,2025,Q1 2025
WA-2026-100049,TA-4049-SF,TA,Pakistan,Municipal Development Fund ,Sustainable Urban Transport,Transport,CWRD,975608.08,USD,08-21-2025,"Aug 23, 2025",2.0,7,yes,Rejected,L. Halliwell,CTLA-TA,2025,Q3 2025
WA-2026-100127,GR-4127-SF,Grant,Myanmar,Municipal Development Fund ,Public Financial Management Reform,Public Sector Management and Governance,SERD,119852.63,USD,"Apr 02, 2025",2025-04-20,18.0,7,no,Processed,,CTLA-PMR,2025,Q2 2025
WA-2025-100478,LN-4478-SF,Loan,NULL,  Municipal Development Fund ,Basic Education Sector Program,Public Sector Management and Governance,CWRD,"$3,017,296.13",USD,05-Feb-2025,02-09-2025,4.0,7,Y,Processed,S. Dhakal,CTLA-LGD,2025,Q1 2025
WA-2025-100486,TA-4486-REG,TA,Bhutan,  National Housing Authority  ,Climate Resilient Infrastructure,Education,SARD,"USD 57,077.61",USD,"May 14, 2025","May 23, 2025",9.0,7,N,Processed,,CTLA-TA,2025,Q2 2025
WA-2025-100168,LN-4168-REG,Loan,Cambodia,  Ministry of Environment ,Small Business Support Facility,Transport,SERD,"$71,744.28",USD,02-06-2026,12/02/2026,6.0,7,1,Processed,E. Lazaro,CTLA-LGD,2026,Q1 2026
WA-2025-100330,LN-4330-REG,Loan,Maldives,  Ministry of Environment,Health Sector Reform Project,Public Sector Management and Governance,SARD,"42,618.13",USD,"Oct 19, 2025",11-05-2025,17.0,7,no,Processed,D. Manurung,CTLA-LGD,2025,Q4 2025
WA-2025-100340,LN-4340-SF,Loan,Kazakhstan,  Department of Social Welfare ,Public Financial Management Reform,NULL,CWRD,"USD 352,417.73",USD,01/10/2025,05-Oct-2025,4.0,7,Y,Processed,M. Pastoral,CTLA-PMR,2025,Q4 2025
WA-2026-100309,LN-4309-REG,Loan,bangladesh,  Department of Public Works,Coastal Protection Project,Health,SARD,"$45,279.35",USD,05-13-2025,17-May-2025,4.0,7,Y,Processed,,CTLA-PMR,2025,Q2 2025
WA-2025-100452,LN-4452-MFF,Loan,Bhutan,  Ministry of Environment ,Sanitation Improvement Project,Education,SARD,"$96,569.76",USD,12-Jul-2025,"Jul 17, 2025",5.0,7,Yes,Processed,I. Mora,CTLA-LGD,2025,Q3 2025
WA-2026-100421,LN-4421-SF,Loan,Sri Lanka, Department of Social Welfare  ,Regional Trade Facilitation,Education,SARD,87051.06,USD,2025-04-20,08-May-2025,18.0,7,no,Processed,B. Kasilag,CTLA-LGD,2025,Q2 2025
WA-2026-100377,GR-4377-MFF,Grant,Pakistan, National Road Authority,Climate Resilient Infrastructure,ICT,CWRD,"$61,851.96",USD,2025-11-07,,N/A,7,,Pending,D. Nishimoto,CTLA-LGD,2025,Q4 2025
WA-2025-100058,LN-4058-SF,Loan,Lao PDR,National Water Utility ,Agriculture Value Chain Development,Energy,SERD,50735.34,USD,03-24-2025,31-Mar-2025,7.0,7,Yes,Processed,L. Halliwell,CTLA-LGD,2025,Q1 2025
WA-2025-100092,LN-4092-MFF,Loan,Philippines, Ministry of Planning  ,Basic Education Sector Program,NULL,SERD,76628.45,USD,26/03/2026,,N/A,7,-,Under Review,N. Librada,CTLA-LGD,2026,Q1 2026
WA-2026-100017,GR-4017-MFF,Grant,Fiji, Ministry of Energy,Sanitation Improvement Project,ICT,PARD,"5,856,021.95",USD,"Jan 09, 2026",,-,7,-,On Hold,O. Domagas,CTLA-LGD,2026,Q1 2026
WA-2025-100266,TA-4266-MFF,TA,Cambodia,Municipal Development Fund  ,Urban Water Supply Program,Finance,SERD,"$50,561.03",USD,13-Jan-2026,30/01/2026,17.0,7,N,Processed,N. Librada,CTLA-TA,2026,Q1 2026
WA-2026-100263,GR-4263-MFF,Grant,Pakistan,  Ministry of Planning,Sanitation Improvement Project,"Agriculture, Food, Nature and Rural Development",CWRD,44385.89,USD,15/12/2025,21-Dec-2025,,7,1,Processed,R. Dadufalza,CTLA-PMR,2025,Q4 2025
WA-2025-100312,LN-4312-REG,Loan,Uzbekistan,Provincial Government ,Flood Risk Management Project,"Agriculture, Food, Nature and Rural Development",CWRD,"$547,424.78",USD,11/07/2025,2025-07-12,1.0,7,Y,Processed,E. Lazaro,CTLA-LGD,2025,Q3 2025
WA-2025-100010,TA-4010-SF,TA,Sri Lanka,Ministry of Environment,Financial Inclusion Program,Water and Urban Development,SARD,2158198.37,USD,25-Mar-2026,,-,7,NA,Pending,E. Lazaro,CTLA-TA,2026,Q1 2026
WA-2025-100154,TA-4154-SF,TA,Banglades, Rural Electrification Agency ,Small Business Support Facility,"Agriculture, Food, Nature and Rural Development",SARD,214877.67,USD,"Jan 07, 2025",19-Jan-2025,12.0,7,no,Processed,B. Choi,CTLA-TA,2025,Q1 2025
WA-2026-100345,TA-4345-REG,TA,Sri Lanka,  Department of Public Works  ,Public Financial Management Reform,ICT,SARD,"$41,944.26",USD,03-25-2025,30-Mar-2025,5.0,7,Y,Processed,A. Asuncion,CTLA-TA,2025,Q1 2025
WA-2025-100210,LN-4210-REG,Loan,Viet Nam,  Municipal Development Fund  ,Smart City Development,Finance,SERD,"USD 74,302.71",USD,"Jun 28, 2025",02-Jul-2025,4.0,7,TRUE,Processed,N. Librada,CTLA-LGD,2025,Q2 2025
WA-2026-100165,GR-4165-REG,Grant,Cambodia,Ministry of Agriculture ,Renewable Energy Development,Multisector,SERD,113587.70,USD,25/10/2025,,,7,na,On Hold,V. Sefesi,CTLA-PMR,2025,Q4 2025
WA-2026-100243,LN-4243-REG,Loan,Viet nam,  Rural Electrification Agency,Public Financial Management Reform,Transport,SERD,"96,732.50",USD,2026-04-24,,pending,7,-,Pending,S. Dhakal,CTLA-LGD,2026,Q2 2026
WA-2025-100290,TA-4290-MFF,TA,Maldives,Department of Public Works  ,Solar Power Generation Project,ICT,SARD,269798.30,USD,2025-12-05,"Dec 08, 2025",3.0,7,yes,Processed,H.C. Park,CTLA-TA,2025,Q4 2025
WA-2026-100161,LN-4161-MFF,Loan,Papua New Guinea,Ministry of Agriculture,Skills Development Program,Multisector,PARD,52955.95,USD,27-Oct-2025,,N/A,7,NA,Pending,R. Gallor,CTLA-LGD,2025,Q4 2025
WA-2026-100079,LN-4079-SF,Loan,Uzbekistan,Urban Development Authority,Urban Water Supply Program,Health,CWRD,"$907,115.29",USD,04-14-2026,21-Apr-2026,7.0,7,Yes,Processed,M. Rodriguez,CTLA-LGD,2026,Q2 2026
WA-2026-100489,LN-4489-REG,Loan,Bangladesh,  Municipal Development Fund  ,Renewable Energy Development,Multisector,SARD,"$184,908.30",USD,03-19-2026,04-05-2026,17.0,7,N,Processed,N. Librada,CTLA-PMR,2026,Q1 2026
WA-2025-100458,LN-4458-MFF,Loan,NULL,Ministry of Agriculture  ,Solar Power Generation Project,Public Sector Management and Governance,SERD,"USD 426,923.91",USD,20/03/2025,"Mar 26, 2025",6.0,7,yes,Processed,M. Akram,CTLA-PMR,2025,Q1 2025
WA-2025-100436,LN-4436-SF,Loan,Kazakhstan,  Department of Social Welfare,Renewable Energy Development,"Agriculture, Food, Nature and Rural Development",CWRD,601729.91,USD,04-17-2025,"Apr 18, 2025",1.0,7,TRUE,Processed,M. Rodriguez,CTLA-LGD,2025,Q2 2025
WA-2026-100005,TA-4005-MFF,TA,Kazakhstan, Ministry of Finance  ,Climate Resilient Infrastructure,ICT,CWRD,"USD 59,065.91",USD,11-Mar-2026,,-,7,N/A,Pending,R. Perez,CTLA-TA,2026,Q1 2026
WA-2026-100071,LN-4071-MFF,Loan,PHILIPPINES, Ministry of ICT ,Financial Inclusion Program,Health,SERD,2528257.09,USD,08-21-2025,11-Sep-2025,21.0,7,N,Processed,R. Baluyot,CTLA-LGD,2025,Q3 2025
WA-2026-100173,TA-4173-MFF,TA,Pakistan,  Ministry of Education,Basic Education Sector Program,Finance,CWRD,"$240,277.06",USD,"Jan 29, 2025",,N/A,7,N/A,On Hold,H.C. Park,CTLA-TA,2025,Q1 2025
WA-2026-100475,LN-4475-SF,Loan,Sri Lanka,  National Housing Authority  ,Urban Water Supply Program,Finance,SARD,"369,228.41",USD,2025-05-05,2025-05-09,4.0,7,yes,Processed,R. Gallor,CTLA-LGD,2025,Q2 2025
WA-2026-100485,LN-4485-MFF,Loan,Sri Lanka,Ministry of Environment ,Climate Resilient Infrastructure,Multisector,SARD,"1,075,632.83",USD,30-Sep-2025,07/10/2025,7.0,7,Y,Processed,O. Orcas,CTLA-LGD,2025,Q3 2025
WA-2026-100429,LN-4429-REG,Loan,Maldives, Rural Electrification Agency  ,Flood Risk Management Project,"Agriculture, Food, Nature and Rural Development",SARD,"$127,949.94",USD,14-Mar-2026,2026-03-15,1.0,7,TRUE,Processed,A. Asuncion,CTLA-LGD,2026,Q1 2026
WA-2025-100422,LN-4422-MFF,Loan,NULL,Ministry of Finance ,Solar Power Generation Project,Health,SARD,"$294,466.08",USD,"Oct 08, 2025",2025-10-10,2.0,7,Yes,Processed,M. Pastoral,CTLA-LGD,2025,Q4 2025
WA-2025-100006,GR-4006-REG,Grant,Viet Nam,Urban Development Authority ,Climate Resilient Infrastructure,NULL,SERD,"$744,426.79",USD,13/04/2025,07-May-2025,N/A,7,FALSE,Processed,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2025-100354,TA-4354-REG,TA,Philippines, Central Bank,Urban Water Supply Program,Multisector,SERD,584275.81,USD,06-Feb-2026,2026-03-02,24.0,7,FALSE,Processed,H.C. Park,CTLA-TA,2026,Q1 2026
WA-2025-100392,GR-4392-MFF,Grant,Lao PDR,  Ministry of Agriculture ,Sanitation Improvement Project,Transport,SERD,"USD 947,441.84",USD,"Mar 03, 2026",07-Mar-2026,4.0,7,1,Processed,L. Halliwell,CTLA-LGD,2026,Q1 2026
WA-2025-100464,TA-4464-MFF,TA,Uzbekistan,  Ministry of Finance  ,Climate Resilient Infrastructure,Multisector,CWRD,"308,113.68",USD,"Jan 28, 2026",,,7,-,On Hold,B. Choi,CTLA-TA,2026,Q1 2026
WA-2025-100182,LN-4182-MFF,Loan,Tajikistan, Ministry of Planning  ,Coastal Protection Project,Water and Urban Development,CWRD,"$923,159.60",USD,01-14-2025,"Jan 18, 2025",4.0,7,Y,Processed,N. Librada,CTLA-LGD,2025,Q1 2025
WA-2025-100314,TA-4314-MFF,TA,Viet Nam,  Department of Public Works  ,Sanitation Improvement Project,Finance,SERD,80970.27,USD,2025-07-11,"Jul 17, 2025",6.0,7,TRUE,Processed,M. Pastoral,CTLA-TA,2025,Q3 2025
WA-2026-100121,LN-4121-SF,Loan,Tajikistan,  Department of Public Works ,Renewable Energy Development,Health,CWRD,"399,057.16",USD,2025-08-14,2025-08-20,6.0,7,TRUE,Processed,N. Librada,CTLA-LGD,2025,Q3 2025
WA-2025-100072,LN-4072-REG,Loan,Fiji,  Municipal Development Fund  ,Coastal Protection Project,Water and Urban Development,PARD,2448550.18,USD,16-Apr-2025,,-,7,-,Pending,D. Nishimoto,CTLA-LGD,2025,Q2 2025
WA-2025-100316,LN-4316-SF,Loan,Kazakhstan, Ministry of Environment ,Smart City Development,Finance,CWRD,530084.44,USD,11-May-2025,05-18-2025,7.0,7,1,Processed,H.C. Park,CTLA-LGD,2025,Q2 2025
WA-2026-100477,LN-4477-REG,Loan,Kazakhstan, Ministry of Energy,Renewable Energy Development,Education,CWRD,233637.61,USD,01-04-2026,21-Jan-2026,17.0,7,0,Processed,N. Librada,CTLA-PMR,2026,Q1 2026
